Path 1,Path 2,Path 3,Path 4,Path 5,Path 6,Probability
0,0,0,0,1,0,14.8457
3,2,0,1,0,0,14.8457
2,3,4,3,3,2,14.8457
2,3,2,4,2,1,10.0294
4,4,0,1,4,0,10.0294
0,1,1,1,4,1,10.0294
1,4,1,1,4,3,5.852
0,2,4,1,0,0,5.852
3,1,2,4,0,2,5.852
3,0,1,3,3,2,9.3455
3,4,2,3,2,0,9.3455
0,2,3,4,3,0,9.3455
3,4,4,4,2,1,15.9722
0,4,0,1,1,4,15.9722
3,2,3,1,1,3,15.9722
1,0,3,1,1,2,13.8289
2,3,4,4,4,0,13.8289
1,2,0,4,0,2,13.8289
1,4,2,3,1,1,10.8427
2,2,2,0,1,2,10.8427
2,1,0,2,3,0,10.8427
2,1,4,2,3,4,11.5855
3,3,1,2,0,0,11.5855
0,3,2,1,0,3,11.5855
4,4,1,1,1,4,1.6914
3,2,0,1,4,3,1.6914
3,2,2,0,3,1,1.6914
0,3,0,0,1,0,6.0067
3,3,0,1,3,2,6.0067
1,3,2,3,2,4,6.0067
